Sno,State,Population,Rural population,Urban population,Area,Density,Gender Ratio
1,Uttar Pradesh,199812341,155317278,44495063,240928,828.0,912
2,Maharashtra,112374333,61556074,50818259,307713,365.0,929
3,Bihar,104099452,92341436,11758016,94163,1102.0,918
4,West Bengal,91276115,62183113,29093002,88752,1029.0,953
5,Madhya Pradesh,72626809,52557404,20069405,308245,236.0,931
6,Tamil Nadu,72147030,37229590,34917440,130058,555.0,996
7,Rajasthan,68548437,51500352,17048085,342239,201.0,928
8,Karnataka,61095297,37469335,23625962,191791,319.0,973
9,Gujarat,60439692,34694609,25745083,196024,308.0,919
10,Andhra Pradesh,49577103,34966693,14610410,162968,303.0,993
11,Odisha,41974218,34970562,7003656,155707,269.0,979
13,Kerala,33406061,17471135,15934926,38863,859.0,1084
14,Jharkhand,32988134,25055073,7933061,79714,414.0,948
15,Assam,31205576,26807034,4398542,78438,397.0,954
16,Punjab,27743338,17344192,10399146,50362,550.0,895
17,Chhattisgarh,25545198,19607961,5937237,135191,189.0,991
18,Haryana,25351462,16509359,8842103,44212,573.0,879
19,Uttarakhand,10086292,7036954,3049338,53483,189.0,963
20,Himachal Pradesh,6864602,6176050,688552,55673,123.0,972
21,Tripura,3673917,2712464,961453,10486,350.0,960
22,Meghalaya,2966889,2371439,595450,22429,132.0,989
23,Manipur,2570390,1793875,776515,22327,122.0,992
24,Nagaland,1978502,1407536,570966,16579,119.0,931
25,Goa,1458545,551731,906814,3702,394.0,973
26,Arunachal Pradesh,1383727,1066358,317369,83743,17.0,938
27,Mizoram,1097206,525435,571771,21081,52.0,976
28,Sikkim,610577,456999,153578,7096,86.0,890
29,Delhi,16787941,419042,16368899,1484,11297.0,868
30,Jammu and Kashmir,12267032,9064220,3202812,125535,98.0,890
31,Puducherry,1247953,395200,852753,479,2598.0,1037
32,Chandigarh,1055450,28991,1026459,114,9252.0,818
33,Dadra and Nagar Haveli and Daman and Diu,585764,243510,342254,603,970.0,711
34,Andaman and Nicobar Islands,380581,237093,143488,8249,46.0,876
35,Ladakh,274000,43840,230160,96701,2.8,853
36,Lakshadweep,64473,14141,50332,32,2013.0,946
